B10K-DU-001-60	Psophia_crepitans	VWZZ00000000
B10K-DU-001-61	Chloroceryle_aenea	VWZY00000000
B10K-DU-001-62	Galbula_dea	VWZX00000000
B10K-DU-001-63	Donacobius_atricapilla	WBMY00000000
B10K-DU-001-64	Burhinus_bistriatus	VYXH00000000
B10K-DU-001-65	Lanius_ludovicianus	VYXG00000000
B10K-DU-001-66	Polioptila_caerulea	VYXF00000000
B10K-DU-001-67	Hirundo_rustica	VZZX00000000
B10K-DU-001-68	Thryothorus_ludovicianus	VZTB00000000
B10K-DU-001-69	Cardinalis_cardinalis	VYXE00000000
B10K-DU-001-70	Hylia_prasina	VYXD00000000
B10K-DU-001-71	Dyaphorophyia_castanea	VYXC00000000
B10K-DU-001-72	Pachyramphus_minor	VYXB00000000
B10K-DU-001-74	Oenanthe_oenanthe	VXBF00000000
B10K-DU-001-75	Motacilla_alba	VXBE00000000
B10K-DU-001-77	Cinclus_mexicanus	VWYM00000000
B10K-DU-001-78	Indicator_maculatus	VXBD00000000
B10K-DU-001-79	Ploceus_nigricollis	VXBC00000000
B10K-DU-002-01	Illadopsis_cleaveri	VXBB00000000
B10K-DU-002-02	Leucopsar_rothschildi	VZTC00000000
B10K-DU-002-03	Serilophus_lunatus	VXBA00000000
B10K-DU-002-05	Gymnorhina_tibicen	VXAZ00000000
B10K-DU-002-07	Oxyruncus_cristatus	VXAY00000000
B10K-DU-002-08	Sinosuthora_webbiana	VXBN00000000
B10K-DU-002-09	Locustella_ochotensis	VXBM00000000
B10K-DU-002-10	Aegithalos_caudatus	WEIU00000000
B10K-DU-002-11	Aramus_guarauna	VXBL00000000
B10K-DU-002-13	Himantopus_himantopus	VXBK00000000
B10K-DU-002-14	Nycticryphes_semicollaris	VXBJ00000000
B10K-DU-002-15	Toxostoma_redivivum	VXBI00000000
B10K-DU-002-16	Rynchops_niger	VXBH00000000
B10K-DU-002-18	Hippolais_icterina	VWYN00000000
B10K-DU-002-19	Sylvia_borin	VXBG00000000
B10K-DU-002-20	Certhia_brachydactyla	VXBV00000000
B10K-DU-002-22	Paradisaea_raggiana	GCA_003713265.1
B10K-DU-002-23	Bombycilla_garrulus	VXBU00000000
B10K-DU-002-24	Oriolus_oriolus	VXBT00000000
